guid,front,back,tags
,What is the meaning of “Friendship is not transitive”?,"If A is a friend of B and B is a friend of C, it doesn’t necessarily mean that A is a friend of C.","CS::cpp, CS::generic-programming::operators-overloading-friends"
,What does “Friendship is not inherited” mean?,"That just because you are friends with someone in programming, it doesn’t automatically make their children your friends as well.","CS::cpp, CS::generic-programming::operators-overloading-friends"
,What is a virtual function in C++?,A function that is declared within a base class and is intended to be overridden by a derived class.,"CS::cpp, CS::generic-programming::inheritance-polymorphism"
,What is a polymorphic object?,A polymorphic object is an object that has at least one virtual function in its class hierarchy.,"CS::cpp, CS::generic-programming::inheritance-polymorphism"
,What is an abstract class in C++?,"An abstract class is a class that has at least one pure virtual function, which makes the whole class abstraxct and cannot be instantiated.","CS::cpp, CS::generic-programming::inheritance-polymorphism"
,What is the purpose of assert()?,To check a condition in a program at runtime and crash the program if that condition is false.,"CS::cpp, CS::generic-programming::error-handling"
,What is the purpose of std::abort()?,To immediately terminate a program by sending a SIGABORT signal.,"CS::cpp, CS::generic-programming::error-handling"
,What is the purpose of exception in C++?,To handle errors and perform automatic stack unwinding with object destruction.,"CS::cpp, CS::generic-programming::error-handling"
,What happens when an assertion fails?,"When an assertion fails, the prograsm crashes and terminates.","CS::cpp, CS::generic-programming::error-handling"
,What is the difference between std::abort and std::exit?,"std::abort is used to terminate the program abnormally and does not allow cleanup code to run, while std::exit is used to terminate the program normally.","CS::cpp, CS::generic-programming::error-handling"
,What is the default class that all exceptions should be derived from?,std::exception,"CS::cpp, CS::generic-programming::error-handling"
,What is the std::logic_error class used for?,When an error is related to the programming logic of the program,"CS::cpp, CS::generic-programming::error-handling"
,What is the std::runtime_error class used for?,When an error occurs during the exeuction of the program that is not related to its logic or any specific argument.,"CS::cpp, CS::generic-programming::error-handling"
,What is the meaning of “exception-safety”?,The concept of writing programs that can handle and recover from unexpected events such as errors and exceptions in a safe and robust manner.,"CS::cpp, CS::generic-programming::error-handling"
,What is the purpose of static_cast?,To perform an explicit conversion of data.,"CS::cpp, CS::conversions-value_categories-moving"
,What is the risk associated with downcasts done through static_cast?,"static_cast downcasts without check, which can lead to undefined behavior if used incorrectly.","CS::cpp, CS::conversions-value_categories-moving"
,What is the purpose of dynamic_cast?,To perform a checked downcast.,"CS::cpp, CS::conversions-value_categories-moving"
,What is the potential disadvantage of using dynamic_cast?,It can be expensive at runtime,"CS::cpp, CS::conversions-value_categories-moving"
,What is the purpose of const_cast?,To remove const qualification.,"CS::cpp, CS::conversions-value_categories-moving"
,When can the use of const_cast lead to undefined behavior?,If the original object was declared const.,"CS::cpp, CS::conversions-value_categories-moving"
,What is the purpose of reinterpret_cast?,To interpret memory as a different type.,"CS::cpp, CS::conversions-value_categories-moving"
,What is the potential disadvantage of using reinterpret_cast?,"There is no runtime cost, but it can lead to undefined behavior if used incorrectly.","CS::cpp, CS::conversions-value_categories-moving"
,What is an explicit cast?,"A combination of static_cast, const_cast and reinterpret_cast.","CS::cpp, CS::conversions-value_categories-moving"
,How is copying data different from moving data in C++?,"Copying data creates a new copy of an object in memory, while moving data simply transfers ownership of the data to a new location.","CS::cpp, CS::conversions-value_categories-moving"
,Can all C++ types be copied?,"No, they need to be Copyable.","CS::cpp, CS::conversions-value_categories-moving"
,What is STL in C++?,"The Standard Template Library, a framework for dealing with sequences of data.","CS::cpp, CS::iterators-ranges-algorithms"
,In which programming language was STL first implemented?,"First Ada, then C++.","CS::cpp, CS::iterators-ranges-algorithms"
,What are the four parts of STL?,"Containers, Algorithms, Iterators and Functions.","CS::cpp, CS::iterators-ranges-algorithms"
,What do Iterators do in STL?,Iterators connect algorithms with containers.,"CS::cpp, CS::iterators-ranges-algorithms"
,What do Functions do in STL?,Functions customize containers and algorithms.,"CS::cpp, CS::iterators-ranges-algorithms"
,What is a sequence in programming?,A collection of elements.,"CS::cpp, CS::iterators-ranges-algorithms"
,What is an InputIterator?,"An iterator that reads and navigates through a sequence of elements in a forward diredction, but can only be passed through once.","CS::cpp, CS::iterators-ranges-algorithms"
,What is an OutputIterator?,"An iterator that writes and navigates through a sequence of elements in a forward direction, but can only be passed through once.","CS::cpp, CS::iterators-ranges-algorithms"
,What is a ForwardIterator?,"An iterator that can read and write elements, navigates through a sequence of elements in a forward direction, and can be passed through multiple times.","CS::cpp, CS::iterators-ranges-algorithms"
,What is a BidirectionalIterator?,"An iterator that has all the capabilities of a ForwardIterator, but can also navigate through a sequence of elements in a backward direction.","CS::cpp, CS::iterators-ranges-algorithms"
,What is a RandomAccessIterator?,"An iterator that has all the capabilities of a BidirectionalIterator, but can also move to any element within the range of the sequence using an offset index.","CS::cpp, CS::iterators-ranges-algorithms"
