guid,front,back,tags
d%300#3BK},The image on the observer’s retina does not solely determine what an observer sees. What does their subjective experience also depend on?,"Their past expereince, knowledge and expectations.","CS::theory-of-science, CS::WITT::Chapter1"
jQ~nad]W!a,The fact that beginners often have difficulty descerning cell structures through a microscope shows what? ,That they are not yet familiar with what to look for. It shows that the vision is not a reliable source.,"CS::theory-of-science, CS::WITT::Chapter1"
AyN-z>EJk),Why is it wrong that observers viewing the same scene from the same place see the same thing bu tinterpret what they see differently?,"As far as perception is concerned, the only thing with which an observer has direct and immediate contact are his or her epceriences, which vary with the observer’s knowledge and expectations.","CS::theory-of-science, CS::WITT::Chapter1"
p~ck2]vf&q,"Other than the physical cause of the images on our ratines, what factors affect what we see?","The inner state: Cultural Upbringing, Knowledge and Expectations.","CS::theory-of-science, CS::WITT::Chapter1"
QbQek*9RCM,What is an observation statement?,"An observation statement is a statement that can be confirmed or refuted by observation, once the appropriate observational techniques have been mastered.","CS::theory-of-science, CS::WITT::Chapter1"
zRvl$k<|&.,How does knowledge according to empiricists differ from knowledge according to logical positivists?,"Empiricists view knoedlge as derived from what is delivered to the mind via the senses, while logical positivists view knowledge as based on observable facts.","CS::theory-of-science, CS::WITT::Chapter1"
v`1p{-iAq-,What is logical positivism?,A philosophical movement that emphasizes the use of scientific methods to analyze and verify knowledge.,"CS::theory-of-science, CS::WITT::Chapter1"
,Is observation alone enough for scientific accuracy?,"No, practical interventions are needed to verify observable facts.","CS::theory-of-science, CS::WITT::Chapter2"
,What was the Copernican theory?,"The (controversial) claim that the earth moves, spinning on its axes once a day, and orbiting the sun once a year.","CS::theory-of-science, CS::WITT::Chapter2"
,How was the argument of the moon being left behind if the earth moves undermined?,"By the acknowledgement that Jupiter has moons, which are carried with it, exhibiting the same phenomenon.","CS::theory-of-science, CS::WITT::Chapter2"
,What is the concept of observable facts in science?,Observation statements constitute facts worthy of forming part of the basis for science if they can be straightforwardly tested by the senses and withstand those tests.,"CS::theory-of-science, CS::WITT::Chapter2"
,Are observable facts in science fallible?,"Yes, to some degree. And they are subject to revision if new kinds of tests become possible in the light of advances in knowledge and technology.","CS::theory-of-science, CS::WITT::Chapter2"
,Can observation statements be considered as observable facts if they have passed all tests that can be leveled at them?,Yes,"CS::theory-of-science, CS::WITT::Chapter2"
,Are all facts established by observation relevant for science?,"No, the vast majority of facts that can be established by observation are totally irrelevant for sceicen.","CS::theory-of-science, CS::WITT::Chapter2"
,Is science only about establishing facts?,"No, also about explaining them.","CS::theory-of-science, CS::WITT::Chapter2"
,What does science seek to understand?,The underlying mechanisms and causes behind observable phenomena.,"CS::theory-of-science, CS::WITT::Chapter2"
,What is the limitation of logical deduction when it comes to establishing the truth of factual statements?,"Logical deduction alone cannot establish the truth of factual statements. It can only show that if the premises are true and the argument is valid, then the conclusion must be true.","CS::theory-of-science, CS::WITT::Chapter4"
,What distinguishes inductive arguments from deductive arguments?,"Inductive arguments go beyond what is contained in the premises, while deductive arguments rely solely on the premises for their conclusion.","CS::theory-of-science, CS::WITT::Chapter4"
,What is the problem of induction and who was the philosopher who articulated it?,"The problem of induction refers to the question of how induction itself is to be justified. It was articulated by David Hume, an eighteenth-century philosopher who argued that all scientific knowledge must be justified either by an appeal to (deductive) logic or by deriving it from experience. ","CS::theory-of-science, CS::WITT::Chapter4"
,What is falsificationism?,The principle that scientific theories should be testable and able to be proven false through empirical evidence.,"CS::theory-of-science, CS::WITT::Chapter5"
,Who was Karl Popper?,"An Austrian philosopher, and the most prominent representative of falisificationism.","CS::theory-of-science, CS::WITT::Chapter5"
,Who were the Vienna Circle?,A group of philosophers who were proponents of logical positivism and who were active in Vienna in the early 20th century.,"CS::theory-of-science, CS::WITT::Chapter5"
,What is the key idea of falsificationism?,That scientific theories are falsifiable.,"CS::theory-of-science, CS::WITT::Chapter5"
,"According to falsificationists, how should theories be tested?",Rigorously and ruthlessly by observation and experiment.,"CS::theory-of-science, CS::WITT::Chapter5"
,"What is the aim of science, according to falsificationism?",To eliminate false theories and replace them with better ones.,"CS::theory-of-science, CS::WITT::Chapter5"
,How do falsificationsts view induction in science?,They do not believe that science involves induction.,"CS::theory-of-science, CS::WITT::Chapter5"
,What is meant by falsifiable?,Falsifiable refers to the ability of a hypothesis or system of hypotheses to be tested by empirical observations in order to potentially prove it false.,"CS::theory-of-science, CS::WITT::Chapter5"
,What does it mean for a hypothesis to be falsifiable?,"A hypothesis is falsifiable if there exists a logically possible observation statement or set of observation statements that are inconsistent with it. That is, which, if established as true, would falsify the hypothesis.","CS::theory-of-science, CS::WITT::Chapter5"
,Can a hypothesis be true and falsifiable?,"Yes. If a hypothesis can be falsified, but the falsification is not valid (or true), it is falsifiable but still true.","CS::theory-of-science, CS::WITT::Chapter5"
,What is the problem with Marxism and Freudianism according to falsificationists?,That they are not falsifiable.,"CS::theory-of-science, CS::WITT::Chapter5"
,What should we do with theories that have been falsified?,They must be ruthlessly rejected.,"CS::theory-of-science, CS::WITT::Chapter5"
,Can a scientific theory ever be proven true according to the falsificationist view?,"No, according to the falsificationist view, a scientific theory can never be proven true because it is always subject to potential falsification through further testing and observation. ","CS::theory-of-science, CS::WITT::Chapter5"
,What are ad hoc modifications?,Ad hoc modifications are modifications made to a theory that have no new testable consequences and are designed to protect the theory from falsificationism.,"CS::theory-of-science, CS::WITT::Chapter5"
,Why are ad hoc modifications generally not acceptable to falsificationists?,"Because they believe that as a science progresses, its theories should become more falsifiable and informative. Ad hoc modifications are seen as ways to prevent a theory from being falsified, rather than making it more informative.","CS::theory-of-science, CS::WITT::Chapter6"
,What is an ad hoc hypothesis?,A hypothesis created solely to defend a theory or explanation from being falsified without providing any new evidence or tests.,"CS::theory-of-science, CS::WITT::Chapter6"
,Why is making novel predictions important in the falsificationist account of science?,"Because it leads to new tests that can confirm or falsify bold conjectures, and thus contribute to the growth of scientific knowledge.","CS::theory-of-science, CS::WITT::Chapter6"
,What makes a prediction considered novel?,"if it involves some phenomenon that does not figure in, or is perhaps explicitly ruled out by the background knowledge of the time.","CS::theory-of-science, CS::WITT::Chapter6"
,What is the main difference between falsificationism and inductivism?,"Falsificationism recognizes that facts and theories are fallible, while inductivism requires science to hav ean unproblematic factual foundation.","CS::theory-of-science, CS::WITT::Chapter6"
,Why is it impossible to conclusively falsify a theory through observation?,"Even if a theory is based on strong observation, the falsificationist’s position rejects the idea that it is immune to future disproof, and newer evidence or knowledge may alter its standing.","CS::theory-of-science, CS::WITT::Chapter7"
,What is the Duhem/Quine thesis?,The Duhem/Quine thesis refers to the idea that a theory cannot be conclusively falsified because an incorrect prediction may be caused by factors other than the theory under test.,"CS::theory-of-science, CS::WITT::Chapter7"
,Why is the falsificationism methodology inadequate on historical grounds?,"Because if it had been strictly adhered to be scientists, many scientific advanced would not have been made. ","CS::theory-of-science, CS::WITT::Chapter7"
,What is conscious ignorance?,A state of acknowledging that one does not know something and it is a prelude to real advanced in knowledge.,"CS::theory-of-science, CS::WITT::Chapter7"
