guid,front,back,tags
b#z*HyNa)],What does the <pre>zip</pre> function do?,"Takes two lists and then zips them together into one list by joining the matching elements into pairs. <br> E.g.: <pre>zip [1..5] [“one”, “two”, “three”, “four”, “five”]</pre> <br/> <pre>[(1,""one""),(2,""two""),(3,""three""),(4,""four""),(5,""five"")]</pre>",CS::haskell
pJ.I5hj7~q,"When using the <pre>zip</pre> function, what happens if the length of the lists don’t match?",The longer list gets cut short.,CS::haskell
zCn;~V#l^M,Does Haskell have a static or dynamic type system?,Static,CS::haskell
pYq|COZ_^),"What would the type declaration for the following function be? <pre>removeNonUppercase st = [ c | c <- st, c `elem` ['A'..'Z']]</pre>",<pre>removeNonUppercase :: [Char] -> [Char]</pre>,CS::haskell
t[ES&W`jMx,What is the difference between [Char] and String?,They’re synonymous,CS::haskell
qAlZmZ=N><,What is a type variable?,A variable which can be of any type. Much like generics in other languages.,CS::haskell
e{tN>v63@G,What are functions that use type variables called?,Polymorphic functions.,CS::haskell
C#-&el-!u?,What does it mean if a type is a member of the <pre>Eq</pre> class?,It can be equated,CS::haskell
o9ArU<QiV@,What does it mean that functions in Haskell are curried?,"Functions in Haskell actually only take one parameter. This means that when a function uses more than one parameter, it basically creates a new function for each argument that takes a new argument.",CS::haskell
eS7Ext}rl?,How do we indicate that we want a function as a parameter in the type declaration?,"We use parantheses. E.g. 
<pre>
applyTwice :: (a -> a) -> a -> a   
applyTwice f x = f (f x) 
</pre>",CS::haskell
N+XJ^zUF9),What is a module?,"A collection of related functions, types and typeclasses.",CS::haskell
"Ai]ij9,jYI",What is the syntax for importing modules?,<pre>import <module name>,CS::haskell
"f}Or?UUw,c","If we want to import only the <i>nub</i> and <i>sort</i> functions from Data.List, how would we do that?","<pre>import Data.List (nub, sort)</pre>",CS::haskell
F-&1tOAZ=4,"If we want to import all functions except <i>nub</i> from Data.List, how would we do that?",<pre>import Data.List hiding (nub)</pre>,CS::haskell
xr){&kQo>1,What does the <pre>\\</pre> function do?,"It is the difference function, it acts like a set difference, basically.",CS::haskell
Nsym3&Yt<@,How do we define a module named Geometry?,"<pre>module Geometry (
Func1
, func2
, func3
) where

Func1
Func2
Func3",CS::haskell
xx5oAEcH%s,How do we make a data type?,<pre>data Type = Value1 | Value2 | … | ValueN</pre>,CS::haskell
K%R0+oWL1B,"When writing data types, how do we give names to data? ","<i>name :: Type </i> e.g. <pre>
data Person = Person {firstName :: String
, lastName :: String
, age :: Int
, phoneNumber :: String
, flavor :: String
} </pre>",CS::haskell
