guid,front,back,tags
w_T5`gpTyE,What is a failure model in distributed systems?,A model that specifies the manner in which the components of the system may fail.,"CS::Bsc-Project, CS::distributed-systems"
rR{5:Oz/g+,What does it mean if a system is t-fault tolerant?,If it continues to satisfy its specified behavior as long as no more than t of its components (whether processes or links or a combination) fail.,"CS::Bsc-Project, CS::distributed-systems"
ptcqEeVIB?,What is the fail-stop process failure model?,"In the Fail-stop failure model, a process may fail by stopping execution from some instant thenceforth, but other processes can learn of the failure. This model provides an abstraction, the exact mechanism by which other processes learn of the failure can vary.","CS::Bsc-Project, CS::distributed-systems"
MAj~4g@F/:,What is crash failure model?,"In the Crash failure model, a process may fail by stopping to function from any instance, but other processes do not learn of this crash.","CS::Bsc-Project, CS::distributed-systems"
q|Lvv;CGSj,What is receive omission failure model?,"In the Receive Omission failure model, a process may fail by intermittently receiving only some of the messages sent to it or by crashing.","CS::Bsc-Project, CS::distributed-systems"
bQk_lR?sBy,What is send omission failure model?,"In the Send Omission failure model, a process may fail by intermittently sending only some of the messages it is supposed to send, or by crashing.","CS::Bsc-Project, CS::distributed-systems"
JqzV_j!*zr,What is general omission failure model?,"In the General Omission failure model, a process may fail by exhibiting either or both of send omission and receive omission failures.","CS::Bsc-Project, CS::distributed-systems"
BCW1UUjwe},What is Byzantine or malicious failure model with authentication?,"In the Byzantine or Malicious Failure, with authentication model, a process may exhibit any arbitrary behavior. However, if a faulty process claims to have received a specific message from a correct process, then that claim can be verified using authentication, based on unforgeable signatures.","CS::Bsc-Project, CS::distributed-systems"
L9>m;vPmt5,What is Byzantine or malicious failure model without authentication?,"In the Byzantine or Malicious Failure model, the same as the Byzantine or Malicious Failure with authentication model, except without authentication to verify any claims made.","CS::Bsc-Project, CS::distributed-systems"
F!wbUY8Jo~,What is a wait-free algorithm?,A wait-free algorithm is an algorithm in which a failure of suspension of any process cannot cause failure or suspension of another process.,"CS::Bsc-Project, CS::distributed-systems"
