guid,front,back,tags
MsCXY{5rkF,What is an alphabet?,"A finite, nonempty set of objects called symbols, symbolized by \(\Sigma \)","CS::DM565::Sipser::0::2, CS::DM565::optional, CS::formal-languages"
s#9BMG]Qd_,What is the string of length zero called?,"The empty string, written \(\epsilon\)","CS::DM565::Sipser::0::2, CS::DM565::optional, CS::formal-languages"
D2B2~g_n|+,What is a <i>predicate</i> or <i>property</i> function?,"A function whose range is \({TRUE,FALSE}\)","CS::DM565::Sipser::0::2, CS::DM565::optional, CS::formal-languages"
u.;#TD`M*d,What does <i>D</i> and <i>R</i> signify in \(f: D \to R\)?,Domain and Range,"CS::DM565::Sipser::0::2, CS::DM565::optional, CS::formal-languages"
Kc^9`b1$!-,The outputs of a function come from a set called what?,Its <i>range</i>,"CS::DM565::Sipser::0::2, CS::DM565::optional, CS::formal-languages"
oV!1s(bO6,What is the set of possible inputs to a function called?,Its <i>domain</i>.,"CS::DM565::Sipser::0::2, CS::DM565::optional, CS::formal-languages"
uS3&!YFeHi,What is a power set of A?,The set of all subsets of A,"CS::DM565::Sipser::0::2, CS::DM565::optional, CS::formal-languages"
md}j#Q0c:I,What is a 2-tuple also called?,An ordered pair,"CS::DM565::Sipser::0::2, CS::DM565::optional, CS::formal-languages"
h-uM9ehp:d,Does repetition matter in a sequence?,No,"CS::DM565::Sipser::0::2, CS::DM565::optional, CS::formal-languages"
BEn1LF}+x/,What is a <i>multiset</i>?,"A modification of the concept of a set that, unlike a set,  allows for multiple instances for each of its elements. ","CS::DM565::Sipser::0::2, CS::DM565::optional, CS::formal-languages"
r:iTabb0ee,When is A a <i>proper subset</i> of B?,When A is a subset of B and not equal to B.,"CS::DM565::Sipser::0::2, CS::DM565::optional, CS::formal-languages"
g]Q2PfgQ:+,What is a computational model?,An idealized computer,"CS::DM565::Sipser::1::1, CS::formal-languages"
L5&v^7E5T5,What language does a machine that takes no strings recognize?,The empty language \(\emptyset\),"CS::DM565::Sipser::1::1, CS::formal-languages"
IkxTBzF8?f,"Let \(N = \{1,2,3,...\}\) be the set of natural numbers, what does it mean when we say that \(N\) is <i>closed under multiplication</i>?","For any <i>x</i> and <i>y</i> in \(N\), the product \(x \times y\) also is in \(N\),","CS::DM565::Sipser::1::1, CS::formal-languages"
jqQiviF`Y~,"Which regular operation outputs (some) of the following with A = {good, bad}? <br/> {?, good, bad, goodgood, goodbad, badgood, badbad, goodgoodgood, goodgoodbad, goodbadgood, goodbadbad, . . . }",The regular operation <b>star</b>.,"CS::DM565::Sipser::1::1, CS::formal-languages"
K%RB>})E{k,What is the difference between a unary operation and a binary operation?,A unary operation performs an action with a single operand. Binary operations perform actions with two operands. ,"CS::DM565::Sipser::1::1, CS::formal-languages"
"Gc,)Ix?9>t",The regular operation <b>Star</b> is defined as such: \(A* = \{x_1x_2...x_k | k \geq 0 and each x_i \in A\}\). <br/> What does this function do in simple terms?,The star operation is a unary operation that works by attaching any number of strings in A together to get a string in the new language. ,"CS::DM565::Sipser::1::1, CS::formal-languages"
w@D|<cWW&Q,The regular operation <b>Concatenation</b> is defined as such: \(A \circ B = \{xy | x \in A and y \in B\}\). <br/> What does this function do in simple terms?,It attaches a string from A in front of a string from B in all possible ways to get the strings in the new language. ,"CS::DM565::Sipser::1::1, CS::formal-languages"
vosUjufbh,When do we say that a language is a <b>regular language</b>?,If some finite automaton recognizes it,"CS::DM565::Sipser::1::1, CS::formal-languages"
IGSCv}?CF,What does L(M) = A mean?,"Machine M recognizes a set of strings A, also called language A","CS::DM565::Sipser::1::1, CS::formal-languages"
E%Aps!/Up;,What does it mean if a collection of objects is <i>closed</i> under some operation?,If applying that operation to members of the collection returns an object still in the collection ,"CS::DM565::Sipser::1::1, CS::formal-languages"
"Qx}`&ia,rq",Final states are another way of saying what?,Accept states,"CS::DM565::Sipser::1::1, CS::formal-languages"
HzK/z@E0m6,What are the probabilistic counterpart of finite automata?,Markov Chains,"CS::DM565::Sipser::1::1, CS::formal-languages"
cieRAe0t`h,What kind of computers are finite automata good for?,Computers with limited memory,"CS::DM565::Sipser::1::1, CS::formal-languages"
Ratl{])!Dn,What is deterministic computation?,"When a machine is in a given state and reads the next input symbol, we know what the next state will be.","CS::DM565::Sipser::1::2, CS::formal-languages"
EgL_#;us:e,What does an NFA do if there are multiply paths with the same input?,"Splits into multiple copies of itself and follows all the possibiliites in parallel. If there are more choices, it splits again, if it can’t go further, it is destroyed. If <i>any</i> of these copies of the machine is in an accept state at the end of the input, the NFA accepts the input string.","CS::DM565::Sipser::1::2, CS::formal-languages"
xY(7^wU*#m,What happens if a state with an \(\epsilon\) symbol on an exiting arrow is encountered?,"Without reading any input, the machine splits into multiple copies, one following each of the exiting \(\epsilon\)-labeled arrows, and one staying at the current state. Then the machine proceeds nondeterministically as before.","CS::DM565::Sipser::1::2, CS::formal-languages"
oE2ey-*s&O,What is a DFA?,A deterministic finite automaton,"CS::DM565::Sipser::1::2, CS::formal-languages"
t%Z{e|!ZTC,What is an NFA?,A nondeterministic finite automaton,"CS::DM565::Sipser::1::2, CS::formal-languages"
L1~H~Od=)O,What is an alphabet containing only one symbol called?,A unary alphabet,"CS::DM565::Sipser::1::2, CS::formal-languages"
qgSa|3H~1O,What is the one essential difference between the formal definition of a deterministic finite automaton and a nondeterministic finite automaton?,"They differ in the type of transifion function. In a DFA, the transition function takes a state and an input symbol and produces the next state. In an NFA, the transition function takes a state and an input symbol <i>or the empty string</i> and produces <i>the set of possible next states</i>","CS::DM565::Sipser::1::2, CS::formal-languages"
G-#;UKynzE,"What languages do NFAs recognize, that DFAs do not?","None, they both recognize the same class of languages.","CS::DM565::Sipser::1::2, CS::formal-languages"
"I,USy[e~X>",Which NFAs can be converted into an equivalent DFA?,Every NFA can be converted into an equivalent DFA.,"CS::DM565::Sipser::1::2, CS::formal-languages"
pX8:&R?f7G,When is a language regular?,If and only if some nondeterministic finite automaton recognizes it.,"CS::DM565::Sipser::1::2, CS::formal-languages"
g4Oh#TotpC,What is data discovery?,The process of finding data on which transformations will be made.,"CS::DM565::Sipser::1::2, CS::formal-languages"
dSbfFbfdn},What is data mapping?,The process of mapping some data to other.,"CS::DM565::Sipser::1::2, CS::formal-languages"
y}f3Q5L._h,What is the resulting language of the regular expression \((0\cup 1)0*\)?,The language consisting of all strings starting with a 0 or a 1 followed by any number of 0s.,"CS::DM565::Sipser::1::3, CS::formal-languages"
Aq0}<BFaHt,The regular expression \((0\cup 1)0*\) is shorthand for what? ,\((0\cup 1)\circ 0*\),"CS::DM565::Sipser::1::3, CS::formal-languages"
MS3GW;i}3B,"Which is more powerful, finite automata or regular expressions?",They are equivalent in their descriptive power.,"CS::DM565::Sipser::1, CS::formal-languages"
n|KaBCW=ci,Is a language necessarily regular if it is described by a regular expression?,"Yes, a language is regular if and only if some regular expression describes it.","CS::DM565::Sipser::1, CS::formal-languages"
w7?rIF$UHR,What is GNFA short for?,Generalized nondeterministic finite automaton,"CS::DM565::Sipser::1, CS::formal-languages"
r[c..^OaX{,"What can GNFAs do, that NFAs and DFAs can’t do?",Use regular expressions in their transitional arrows.,"CS::DM565::Sipser::1, CS::formal-languages"
"N28f5h7,kr",Which kind of finite automaton has the transition function \(\delta : (Q - \{q_{accept}\ \times (Q-\{q_{start}\}) \rightarrow R)\)?,NDFAs,"CS::DM565::Sipser::1, CS::formal-languages"
Co]2L7y1[n,What is the formal definition of a <i>finite automaton</i>?,"A 5-tuple \( (Q, \Sigma, \delta, q_0, F) \)","CS::DM565::Sipser::1, CS::formal-languages"
"oO_N(S,O`(","If two languages A1 and A2 are regular, what can be said of their union A1 \(\cup \) A2?","Their union is also regular, because regular languages are closed under the union operation","CS::DM565::Sipser::1, CS::formal-languages"
G35nTIzmln,When are two machines considered equivalent?,If they recognize the same language,"CS::DM565::Sipser::1, CS::formal-languages"
"p`B),I7q]I",What is a regular expression?,An expression describing a language that is built using regular operations.,"CS::DM565::Sipser::1, CS::formal-languages"
cp6ovQ[q`^,What does the regular expression \( (0 \cup 1) \) mean?,"Combine the results of {0} and {1} into one set, {0,1}","CS::DM565::Sipser::1, CS::formal-languages"
bu+n4kZ^)z,What does the regular expression \( (0 \cup 1)* \) mean?,It is the expression for the language consisting of all possible strings of 0’s and 1’s,"CS::DM565::Sipser::1, CS::formal-languages"
F(<RLu/e.:,What does the symbol \(\Sigma *\) mean?,The language consisting of all strings over a given alphabet.,"CS::DM565::Sipser::1, CS::formal-languages"
H^HzXl8?j`,What does the following regular expression denote? \((0 \Sigma *) \cup (\Sigma * 1)\),"It consists of all possible strings that start with a 0, or end with a 1.","CS::DM565::Sipser::1, CS::formal-languages"
sAxSXCP+=F,What is R+ shorthand for?,"R+ is the kleene star with at least one element, not \(\epsilon\) (i.e. R+ = RR*)","CS::DM565::Sipser::1, CS::formal-languages"
*eVx9CS|;,How many acceptance states should a finite automaton have?,"A finite automaton has a set of starting states, which may be any set of states, including the set \(\emptyset\).","CS::DM565::Sipser::1, CS::formal-languages"
zs]xIWR#?S,"What is the set of acceptance states for the following DFA? <br/> <img src=""dfa1.png"">",{q3},"CS::DM565::Sipser::1, CS::formal-languages"
qij!hq;<:[,What is the difference between the <i>empty string</i> and the <i>empty language</i>?,"The empty string \((\epsilon )\) is the string of length 0, while the empty language \((\emptyset )\), is the language which is a set with no strings. ","CS::DM565::Sipser::1, CS::formal-languages"
plUh>Uo{|H,Can you use star operation on the empty string (\(\epsilon\))?,Yes.,"CS::DM565::Sipser::1, CS::formal-languages"
gR?|)rtp8),What is tabular data?,Data that can be encoded as text files using a designated seperator character between fields and newline between two records.,"CS::DM565::Slides::4, CS::formal-languages"
K1^el$~N`R,"Header records may be found in tabular data formats, what are they?",A first line specifying the names of the different fields,"CS::DM565::Slides::4, CS::formal-languages"
G8KmDMfk&Z,Where can you find information about different command-line tools?,"Via the man-pages, e.g. man grep. Many tools also have online manuals or tutorials and books.","CS::DM565::Slides::4, CS::formal-languages"
GlvRn$gg2V,What is grep short for?,Global regular expression print,"CS::DM565::Slides::4, CS::formal-languages"
uPtv5z)3q/,What does the -E option in grep do?,"With -E basically all characters that have special meaning are unescaped, meaning when using -E regular expressions are often more readable.","CS::DM565::Slides::4, CS::formal-languages"
wN=9ivV<W$,What does the <i>sort</i> tool do?,Sort input,"CS::DM565::Slides::5, CS::formal-languages"
PAzhmNEXLq,What does the <i>uniq</i> command do?,"Filter out adjacent matching lines, often used after sort","CS::DM565::Slides::5, CS::formal-languages"
>e9c4:ncB,What does the <i>tr</i> tool do?,Translate or delete characters.,"CS::DM565::Slides::5, CS::formal-languages"
Ou!&eaMC#@,What does the <i>cut</i> tool do?,Remove sections from each line of files,"CS::DM565::Slides::5, CS::formal-languages"
t2-n;|6&2),What does the <i>paste</i> tool do?,Merge lines of files,"CS::DM565::Slides::5, CS::formal-languages"
zadz1{/}C),What does the <i>join</i> tool do?,Join lines of two files on a common (sorted) field,"CS::DM565::Slides::5, CS::formal-languages"
"NV,eh}jmna",What does the <i>head/tail</i> command do?,Output the first/last part of files,"CS::DM565::Slides::5, CS::formal-languages"
"y]_6,#4&qH",The front end of the compiler phases (Scanner -> Parser -> Symbol Collection -> Type Checking) ensure what? ,That the input program is correct,"CS::DM565::Slides::6, CS::formal-languages"
z_.7S40;Em,What does the back end of the compiler phases (Code Generation -> Emit) do?,Generate the code for the correct input program (i.e. target code),"CS::DM565::Slides::6, CS::formal-languages"
d#+3aNT+Ll,When can optimization phases be inserted in the compiler phases?,Before or after the code generation (the back end),"CS::DM565::Slides::6, CS::formal-languages"
BZ>%!]g[jn,What is the input and output of the lexical analysis scanners?,"The input is a stream of characters (the user program), the output is a stream of tokens.","CS::DM565::Slides::6, CS::formal-languages"
