guid,front,back,tags
"t)X;wr,<sE","<p>You can call by value and by reference, but what else?</p>","<p>Constant, Result, name and value-result</p>","CS::PLChapter07, CS::programming-languages"
fx?@B?p<}j,<p>Can you do lazy evaluation if you evaluate right-to-left?</p>,<p>No</p>,"CS::PLChapter07, CS::programming-languages"
^z%]d;xC],<p>What is type equivalence by name?</p>,"<p>Two types are equivalent if they have the same name. Used in Pascal, Ada and Java</p>","CS::PLChapter08, CS::programming-languages"
t}Q]l01s]c,<p><em>Type LessThan = 0..9</em> is an example of which type?</p>,<p>Intervals</p>,"CS::PLChapter08, CS::programming-languages"
Pz:$W0kfI{,<p>What is a data type?</p>,<p>A collection of values (homogeneous and effectively represented (can be visualized)) equipped with a set of operations to manipulate these values.</p>,"CS::PLChapter08, CS::programming-languages"
IOwI?/=Rmb,<p>What defines what is a type and what is not a type?</p>,<p>The programming language.</p>,"CS::PLChapter08, CS::programming-languages"
P`oAr!de-:,<p>When were enumerations introduced?</p>,<p>In Pascal</p>,"CS::PLChapter08, CS::programming-languages"
FW%1:^1(/},<p>What is a scalar type?</p>,"<p>A type where values are not composed of aggregations of other values (e.g. boolean, chars).</p>","CS::PLChapter08, CS::programming-languages"
q;JDH67ctp,<p>What are the pros of call by value?</p>,<p>You don't have to worry about side-effects.</p>,"CS::PLChapter08, CS::programming-languages"
y;;awQ0W$H,<p>How many categories of types are there?</p>,"<p>Two, scalar types (or simple types) and composite types.</p>","CS::PLChapter08, CS::programming-languages"
dmadz[/TsP,<p>When are two types equivalent?</p>,<p>If each object of type T1 is also an object of type T2 and vice versa. T1 is compatible with T2 if an object of T1 can appear where a T2 would be expected.</p>,"CS::PLChapter08, CS::programming-languages"
tKu>S7Y1N],<p>When were intervals (subranges) introduced?</p>,<p>In Pascal</p>,"CS::PLChapter08, CS::programming-languages"
k=]lM9S-7#,<p>What is the particularity of call by constant?</p>,"<p>It's read only. The implementation depends on the compiler, it can be like passing by value or reference</p>","CS::PLChapter08, CS::programming-languages"
H<NP|G`V{H,<p>How many ways of passing parameters are there?</p>,"<p>6, Call by value, reference, result, result-value, constant and name</p>","CS::PLChapter08, CS::programming-languages"
lNJH^2fBV/,<p>What are composite types?</p>,"<p>Types obtained by combining other types with appropriate constructors (e.g. string, pointer, struct).</p>","CS::PLChapter08, CS::programming-languages"
Fg6cBhSKFJ,<p>What are the pros of call by reference?</p>,<p>You don't have to copy anything</p>,"CS::PLChapter08, CS::programming-languages"
s~d2Xi[fXh,<p>Are enumerations ordered or unordered?</p>,<p>Ordered</p>,"CS::PLChapter08, CS::programming-languages"
LvIgk)[_vC,<p>What is the difference between an exception and an error?</p>,"<p>An Error ""indicates serious problems that a reasonable application should not try to catch."" An Exception ""indicates conditions that a reasonable application might want to catch.""</p>","CS::PLChapter08, CS::programming-languages"
PS1h8>Fkk1,<p>What is the idea of <em>finally</em>?</p>,<p>To have a block that will be executed no matter what in a try block.</p>,"CS::PLChapter08, CS::programming-languages"
vup-wjEFX>,What was the first high-level programming language designed for computers? (Not implemented),Plankalkül (Plan Calculus) in 1942-1945 by Konrad Zuse,"CS::PLChapter13, CS::programming-languages"
oi2g)v.Er>,Which programming language introduced the use of <i>blocks</i>?,Algol60,"CS::PLChapter13, CS::programming-languages"
K-JJetuV;u,Why is lisp significant?&nbsp;,"It was the first functional programming language, as well as the only programming language for artificial intelligence for years.&nbsp;","CS::PLChapter13, CS::programming-languages"
g2u?h?$OZ(,Which was the first <b>effectively implemented </b>high-level programming language?&nbsp;,Fortran in 1956,"CS::PLChapter13, CS::programming-languages"
EkM#z>|}ER,What was the first programming language?&nbsp;,Fortran,"CS::PLChapter13, CS::programming-languages"
x6ai]ik79^,When did Charles Babbage invent the Analytical Engine?&nbsp;,1837,"CS::PLChapter13, CS::programming-languages"
kV4*Pquyrg,What are Lisps sucessors?&nbsp;,"Miranda, ML, Haskell","CS::PLChapter13, CS::programming-languages"
m<&Um2=8JI,What is (was) the use-case of cobol?&nbsp;,Business-oriented computations. It has a very strict program organization and poor control structures.&nbsp;,"CS::PLChapter13, CS::programming-languages"
j}R_QC.`XQ,Who invented the Analytical Engine?&nbsp;,Charles Babbage,"CS::PLChapter13, CS::programming-languages"
qb<Otz{f=:,"What programming style (Imperative, Functional, Declarative, Functional Logic) is Prolog?&nbsp;",Declarative,"CS::PLChapter13, CS::programming-languages"
F|vXWC~mbq,What is Java originally designed for?&nbsp;,"Internet programming, but is a general-purpose language.&nbsp;","CS::PLChapter13, CS::programming-languages"
"jCQu(G],B!",What did fortran introduce?,"<ul>
<li> Variables</li><li>Loops</li><li>Procedures</li><li>Statement labels</li><li>Much more</li>
</ul>","CS::PLChapter13, CS::programming-languages"
"O1,kiPfomf",Where would Fortran still be used?&nbsp;,In engineering applications that require much array manipulation,"CS::PLChapter13, CS::programming-languages"
y1PV3lkB4p,What is significant about <b>basic</b>?,It's the first programming language for personal computers.&nbsp;<div>It's also designed to be easy to learn (however not anymore).</div>,"CS::PLChapter13, CS::programming-languages"
m_22H>vv<?,What did Simula 67 introduce?&nbsp;,<b>Object Orientation: </b>classes and encapsulation,"CS::PLChapter13, CS::programming-languages"
"x%eFD~^7G,",What was the predecessor of Smalltalk and C++?&nbsp;,Simula 67,"CS::PLChapter13, CS::programming-languages"
ej}1peF0Ek,What is Pascal (1970) a sucessor to?&nbsp;,Algol60. It is conceptually simplified and cleaned up,"CS::PLChapter13, CS::programming-languages"
C8/ohCLb*U,What was the first functional programming language?&nbsp;,Lisp (1958),"CS::PLChapter13, CS::programming-languages"
tF7pBMF?;T,What is significant about Prolog (1972)?,It has an important role in Artificial Intelligence.&nbsp;<br>It is intended primarily as a declarative programming language.<div>Logic is expressed as relations</div>,"CS::PLChapter13, CS::programming-languages"
l?*{U]4Lu;,What connection does Simula 67 have to Algol 60?,It's an extension of Algol 60 designed for concurrent processes&nbsp;,"CS::PLChapter13, CS::programming-languages"
ND9LD-W2Mj,What is the difference between C (1972) and C++ (1980)?&nbsp;,C++ is an <i>object-oriented</i>&nbsp;extension of the imperative language <i>C. </i>Designed in 1980.,"CS::PLChapter13, CS::programming-languages"
uvXa>JsjH/,What did algol60 introduce?,"<ul>
<li>Block Structure</li><li>Recursion</li><li>a <i>formal definition</i></li>
</ul>","CS::PLChapter13, CS::programming-languages"
"MD{qv,Mhk3",Why is cobol still used?&nbsp;,For maintenance of legacy business applications.&nbsp;,"CS::PLChapter13, CS::programming-languages"
QOC~Xi>H@S,What is <i>the fundamental cycle?&nbsp;</i>,Fetch-decode-execute,"CS::PLMisc, CS::programming-languages"
d@^+yPA.>;,What is the part of the description of the language which seeks to answer the question of what does a correct phrase mean?,Semantics,"CS::PLChapter02, CS::programming-languages"
dY=PLY#VSp,What is the part of a language description which asks itself “how do we use a meaningful sentence?”,Pragmatics,"CS::PLChapter02, CS::programming-languages"
tCv%Vyrfae,Who developed techniques to describe syntactic phenomena in a formal manner?,Noam Chomsky,"CS::PLChapter02, CS::programming-languages"
ilP%Evl0p,What is a fundamental device for the description of programming languages?,context-free grammar,"CS::PLChapter02, CS::programming-languages"
p)0~:&u65b,What is the aim of lexical analysis?,to read the symbols (characters) forming the program sequentially from the input (and generate any errors if needed),"CS::PLChapter02, CS::programming-languages"
MtkRrCLut7,What is a very simple operation that scans the input text of the source program from left to right?,Lexical analysis,"CS::PLChapter02, CS::programming-languages"
q(HNq|hFB4,What do most official programming language definitions use for their semantic description?,natural language,"CS::PLChapter02, CS::programming-languages"
I4a>t0hsd3, Semantics is a relation between what?,signs (correct sentences) and meanings,"CS::PLChapter02, CS::programming-languages"
C.MP/vuoL<, What determines the correct sentences with which a recipe is expressed?,The syntax,"CS::PLChapter02, CS::programming-languages"
"J),`FPD9Ul", What does Chomsky use to limit the ambiguity that is always present in language?,formalisms,"CS::PLChapter02, CS::programming-languages"
i$]@#.3@PG, What is a fundamental tool for describing the syntax of programming languages?,generative grammar,"CS::PLChapter02, CS::programming-languages"
e|jMzA44kS, What are Context-Free Grammars?,a notation for the concise and precise expression of recursive definitions of strings,"CS::PLChapter02, CS::programming-languages"
csQpmZ:xHR," In the context of programming languages, context-free grammars were used for the first time in the definition of what language?",Algol60,"CS::PLChapter02, CS::programming-languages"
s|!}2:y~[~, What is BNF?,Backus Naur normal form,"CS::PLChapter02, CS::programming-languages"
K2p|D2yNH2,Is a derivation tree ordered or unordered?,Ordered,"CS::PLChapter02, CS::programming-languages"
"lFj:Gi,3U]", What are nodes without children?,leaves,"CS::PLChapter02, CS::programming-languages"
uZg5=6R<s(, Who introduced the Turing Machine language in the 1930s?,Alan M. Turing,"CS::PLChapter03, CS::programming-languages"
e[}zNL04Db, What is a Turing machine composed of?,an infinite tape,"CS::PLChapter03, CS::programming-languages"
oIXl*Af!=:, Alonzo Church proposed a principle in the mid-1930s that states exactly what?,It states that a function on the natural numbers can be calculated by an effective method if and only if it is computable by a Turing machine. This is known as the church thesis.,"CS::PLChapter03, CS::programming-languages"
vW;wE((]q;,What is a program that can determine whether a program can generate a division by zero error during execution?,a static analyser,"CS::PLChapter03, CS::programming-languages"
M7SY40#.W*,What is the name of the machine that computes every intuitively computable function?,Turing Machine,"CS::PLChapter03, CS::programming-languages"
B6WDrpP*G5,Church's Thesis is a philosophical principle that the computer science community assumes that it will not be discredited by what new computational paradigm?,quantum computing,"CS::PLChapter03, CS::programming-languages"
qRufkF+^YH," What is nothing more than a sequence of characters used to represent, or denote another object?",A name,"CS::PLChapter04, CS::programming-languages"
o;(n)g8caL," When we define a name using a variable, we introduce a symbolic identifier for what?",a memory location,"CS::PLChapter04, CS::programming-languages"
D1C>c?iLMp,"If we define a variable <i>fie</i> and assign it the value of 2, where weill the value be stored?",the location reserved for the variable named fie,"CS::PLChapter04, CS::programming-languages"
P%.:bBi?4w,Why do we use names/what does the use of names avoid?,The need to bother with whatever the location is,"CS::PLChapter04, CS::programming-languages"
yyex^}GO]@, How must the correspondence between name and memory location be guaranteed?,by the implementation,"CS::PLChapter04, CS::programming-languages"
uLM9%EV]%p, What is the part of the implementation responsible for the associations between names and objects that they denote?,The environment,"CS::PLChapter04, CS::programming-languages"
HS*=C;Dh1), What is the component of the abstract machine that allows the determination of what the correct association is?,environment,"CS::PLChapter04, CS::programming-languages"
y6s|-0_}^$,Does the environment exist at the level of the physical machine?,No,"CS::PLChapter04, CS::programming-languages"
L>]m0-`W(X, What is a structuring method for programs introduced by ALGOL60?,blocks,"CS::PLChapter04, CS::programming-languages"
w2EI:XCRjJ, What are the start- and end-block constructs for languages in the ALGOL family?,begin ... end,"CS::PLChapter04, CS::programming-languages"
PiW-O(0.ty, What are the start- and end-block constructs for Java?,{…},"CS::PLChapter04, CS::programming-languages"
jdHy~qmb*L, A block's environment is composed of associations between names declared locally to what?,the block itself,"CS::PLChapter04, CS::programming-languages"
xTg&$*Hq3?," In most languages allowing blocks, what can be nested?",blocks,"CS::PLChapter04, CS::programming-languages"
qA2l}}B9T{, How can blocks be nested?,"In most languages allowing blocks, blocks can be nested; that is, the definition of one block can be wholly included in that of another","CS::PLChapter04, CS::programming-languages"
GXh=v}]`fW, What does the new declaration hide in the block that contains the redefinition?,the previous one,"CS::PLChapter04, CS::programming-languages"
"IEJI5:J,:`", When will the association of a variable from a block be reactivated?,on exit from the inner block,"CS::PLChapter04, CS::programming-languages"
"zo#t6?$=o,", What are visibility rules also called?,scope rules,"CS::PLChapter04, CS::programming-languages"
qc(o|!?u{2,“The rule of nearest nested scope” is a term used to describe which scope rule?,Static scope,"CS::PLChapter04, CS::programming-languages"
lk#F+_>A+g, When was the static scope rule introduced?,ALGOL60,"CS::PLChapter04, CS::programming-languages"
B1lsO}A_o7, What type of scope rule is typically used by the most important programming languages?,Static Scope,"CS::PLChapter04, CS::programming-languages"
KyKJf--vC@, What is the scope rule that is easiest to implement?,Dynamic Scope,"CS::PLChapter04, CS::programming-languages"
DW=$:668k@,What is a name?,a (possibly meaningful) sequence of characters used to represent some other thing,"CS::PLChapter04, CS::programming-languages"
coU<<4$Dm@,What term denotes the entire period of time between starting and termination of a program?,Runtime,"CS::PLChapter04, CS::programming-languages"
C!p&]f.WmQ,What is the environment formed from associations created when the program's execution began?,Global environment,"CS::PLChapter04, CS::programming-languages"
rB=Fo=S#2x,What happens when a block is exited?,associations for names declared locally to the block and the objects they denote are destroyed,"CS::PLChapter04, CS::programming-languages"
gNpX]CKQt.,What is a situation in which an object is possible to access an object whose memory has been reallocated?,a dangling reference,"CS::PLChapter04, CS::programming-languages"
I^$7JzW*F], What are some elements for which it is possible to allocate memory statically?,global variables,"CS::PLChapter05, CS::programming-languages"
sM8FwDi4N?,Does a language with only static memory allocation support recursion?,No,"CS::PLChapter05, CS::programming-languages"
"ON,UM$,6+l"," What did the first versions of FORTRAN use, static or dynamic memory allocation?",static memory allocation,"CS::PLChapter05, CS::programming-languages"
ws@zY~W_d^," Intermediate results, local variables, and dynamic chain pointer are fields of what?",activation record,"CS::PLChapter05, CS::programming-languages"
de>Q8XKqwR, What does a function return when it terminates its execution?,a value to the caller,"CS::PLChapter05, CS::programming-languages"
sFMP0vA6@B, Activation records are stored on and removed from the stack at what time?,runtime,"CS::PLChapter05, CS::programming-languages"
mW3cTJJ!9c, What do we use to indicate the program or procedure that performs a call and the procedure that has been called?,"caller"" and ""callee""","CS::PLChapter05, CS::programming-languages"
eQ0+=4Tk]L, What is the definition of a heap that we use here (in memory) has nothing to do with this data structure?,a heap is simply an area of memory in which blocks of memory can be allocated and deallocated relatively freely,"CS::PLChapter05, CS::programming-languages"
bH{WKAT05h, What happens when a block of size strictly larger than the requested by the program is allocated?,internal fragmentation,"CS::PLChapter05, CS::programming-languages"
nsb!9Lv8.j,What type of management is a Heap?,Dynamic Management,"CS::PLChapter05, CS::programming-languages"
ec0QL#th6J, When did the first electronic computers appear?,second half of the 1940s,"CS::PLChapter13, CS::programming-languages"
c>upbMk~h, Data and program were initially represented on what type of cards?,punched cards,"CS::PLChapter13, CS::programming-languages"
t<y~Rp[COX,What was the first programming language that introduced expressions such as a * 2 + b ?,Fortran,"CS::PLChapter13, CS::programming-languages"
KiaSmDe~h&,How many kinds of environments are there?,"Two, local and global","CS::PLChapter13, CS::programming-languages"
L9M{x9gJZ/,What does ALGOL stand for?,ALGOrithmic language,"CS::PLChapter13, CS::programming-languages"
y:VRsoG#Ih,When were imperative languages introduced?,In the end of the 1950s,"CS::PLChapter13, CS::programming-languages"
wUt72(8+;|, What are context-free grammars now known as?,Backus Naur Form or BNF,"CS::PLChapter13, CS::programming-languages"
tRPLvIflqs, What is the acronym for COmmon Business Oriented Language?,COBOL,"CS::PLChapter13, CS::programming-languages"
I[a+Ra9^=_, What was the goal of the COBOL language?,producing a language that was specific to commercial applications and whose syntax was as close as possible to the English language,"CS::PLChapter13, CS::programming-languages"
o%+ToZ]|+Y," What was the first language to introduce the concepts of class, object, subtype and dynamic method dispatch?",Simula67,"CS::PLChapter13, CS::programming-languages"
fb/r;sGOiB, What language did the Pascal compiler translate into?,P-code,"CS::PLChapter13, CS::programming-languages"
mY[#ew`klC, What was the first commercial PC?,Apple II in 1978,"CS::PLChapter13, CS::programming-languages"
Q9T.O>e~Dy, Java uses what type of scope?,static,"CS::PLChapter13, CS::programming-languages"
zhq2XR>I?&, Java allows the dynamic loading of what?,classes,"CS::PLChapter13, CS::programming-languages"
B[BVtnM~-D, What is the essential characteristic of an expression that differentiates it from a command?,its evaluation produces a value,"CS::PLChapter06, CS::programming-languages"
Kg0mS)6FA<, How can expression syntax be precisely described?,by a context-free grammar,"CS::PLChapter06, CS::programming-languages"
qCv1pN%&ZG, What can be used to represent an expression internally inside a computer?,Tree structures,"CS::PLChapter06, CS::programming-languages"
"s;.,e!V0EM", How many main types of notation can we distinguish?,"three: infix, postfix, prefix","CS::PLChapter06, CS::programming-languages"
KDhoM7BKu/, What is another name for Postfix Notation?,Reverse Polish,"CS::PLChapter06, CS::programming-languages"
bmGwsE/D42," In imperative programming languages, expression evaluation is what?",side effects,"CS::PLChapter06, CS::programming-languages"
uz=o^$4OZ/, What are the two classes declarative languages are usually divided into?,functional and logic programming languages,"CS::PLChapter06, CS::programming-languages"
DmlH07{mVA, What is another name for short-circuit evaluation?,lazy evaluation,"CS::PLChapter06, CS::programming-languages"
B!M(986-:~," If the result type of a function is void, what does the function return?",no meaningful value,"CS::PLChapter07, CS::programming-languages"
rdi3dJ-P$X,"C and Java only allow one passing mechanism, which one? ",Passing by value,"CS::PLChapter07, CS::programming-languages"
s.nA/kTbZ-,What is the difference between formal parameters and actual parameters?,"Formal parameters appear in the definition of a function, actual parameters appear in the call.","CS::PLChapter07, CS::programming-languages"
J~}Tf7OWry,When is a parameter of input type?,If it allows communication which is only in the direction from the caller to the function.,"CS::PLChapter07, CS::programming-languages"
"eNQv,!No0G",When is a parameter of output type?,If it allows communication which is only in the direction from the function to the caller.,"CS::PLChapter07, CS::programming-languages"
K{wor;lmvq,When is a parameter of input/output type?,If it allows for bidirectional communication between the caller and callee (function).,"CS::PLChapter07, CS::programming-languages"
iCRs8dAC}h,What are l-values?, l-values are those values that usually indicate locations and therefore are the values of expressions that can be on the left of an assignment command.,"CS::PLChapter06, CS::programming-languages"
